matrix_type,component_category,component_maker,component_name,component_mm,component_extra,case_model,case_maker,case_form_factor,case_limit_mm,margin_mm,verdict
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5090 XTREME WATERFORCE 32G,245,TDP:1000W conn:16pin*1,NZXT H510,nzxt,ATX,381,136,OK
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5090 XTREME WATERFORCE 32G,245,TDP:1000W conn:16pin*1,NZXT H200i,nzxt,Mini-ITX,328,83,OK
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5090 XTREME WATERFORCE 32G,245,TDP:1000W conn:16pin*1,NZXT H9 Flow,nzxt,ATX,385,140,OK
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5090 XTREME WATERFORCE 32G,245,TDP:1000W conn:16pin*1,NZXT H3 Flow,nzxt,ATX,380,135,OK
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5090 XTREME WATERFORCE 32G,245,TDP:1000W conn:16pin*1,NZXT H2 Flow,nzxt,Mini-ITX,340,95,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5060 Ti 8G VENTUS 2X OC CLASSIC,241,TDP:180W conn:8pinx1,NZXT H510,nzxt,ATX,381,140,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5060 Ti 8G VENTUS 2X OC CLASSIC,241,TDP:180W conn:8pinx1,NZXT H200i,nzxt,Mini-ITX,328,87,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5060 Ti 8G VENTUS 2X OC CLASSIC,241,TDP:180W conn:8pinx1,NZXT H9 Flow,nzxt,ATX,385,144,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5060 Ti 8G VENTUS 2X OC CLASSIC,241,TDP:180W conn:8pinx1,NZXT H3 Flow,nzxt,ATX,380,139,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5060 Ti 8G VENTUS 2X OC CLASSIC,241,TDP:180W conn:8pinx1,NZXT H2 Flow,nzxt,Mini-ITX,340,99,OK
GPU×ケース,gpu,asus,ASUS Dual GeForce RTX™ 5060 White OC Edition 8GB GDDR7,228,TDP:550W conn:1x8-pin,NZXT H510,nzxt,ATX,381,153,OK
GPU×ケース,gpu,asus,ASUS Dual GeForce RTX™ 5060 White OC Edition 8GB GDDR7,228,TDP:550W conn:1x8-pin,NZXT H200i,nzxt,Mini-ITX,328,100,OK
GPU×ケース,gpu,asus,ASUS Dual GeForce RTX™ 5060 White OC Edition 8GB GDDR7,228,TDP:550W conn:1x8-pin,NZXT H9 Flow,nzxt,ATX,385,157,OK
GPU×ケース,gpu,asus,ASUS Dual GeForce RTX™ 5060 White OC Edition 8GB GDDR7,228,TDP:550W conn:1x8-pin,NZXT H3 Flow,nzxt,ATX,380,152,OK
GPU×ケース,gpu,asus,ASUS Dual GeForce RTX™ 5060 White OC Edition 8GB GDDR7,228,TDP:550W conn:1x8-pin,NZXT H2 Flow,nzxt,Mini-ITX,340,112,OK
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5080 XTREME WATERFORCE 16G,220,TDP:850W conn:16pin*1,NZXT H510,nzxt,ATX,381,161,OK
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5080 XTREME WATERFORCE 16G,220,TDP:850W conn:16pin*1,NZXT H200i,nzxt,Mini-ITX,328,108,OK
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5080 XTREME WATERFORCE 16G,220,TDP:850W conn:16pin*1,NZXT H9 Flow,nzxt,ATX,385,165,OK
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5080 XTREME WATERFORCE 16G,220,TDP:850W conn:16pin*1,NZXT H3 Flow,nzxt,ATX,380,160,OK
GPU×ケース,gpu,gigabyte,AORUS GeForce RTX™ 5080 XTREME WATERFORCE 16G,220,TDP:850W conn:16pin*1,NZXT H2 Flow,nzxt,Mini-ITX,340,120,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5050 8G VENTUS 2X OC,197,TDP:130W conn:8pinx1,NZXT H510,nzxt,ATX,381,184,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5050 8G VENTUS 2X OC,197,TDP:130W conn:8pinx1,NZXT H200i,nzxt,Mini-ITX,328,131,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5050 8G VENTUS 2X OC,197,TDP:130W conn:8pinx1,NZXT H9 Flow,nzxt,ATX,385,188,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5050 8G VENTUS 2X OC,197,TDP:130W conn:8pinx1,NZXT H3 Flow,nzxt,ATX,380,183,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5050 8G VENTUS 2X OC,197,TDP:130W conn:8pinx1,NZXT H2 Flow,nzxt,Mini-ITX,340,143,OK
